theme,filename,sets_in_dev_sample
4 Juniors,4-juniors.png,1
Action Wheelers,action-wheelers.png,1
Advanced models,advanced-models.png,1
Adventurers,adventurers.png,1
Agents,agents.png,1
Alpha Team,alpha-team.png,1
Animal Crossing,animal-crossing.png,1
Aqua Raiders,aqua-raiders.png,1
Aquazone,aquazone.png,1
Architecture,architecture.png,50
Art,art.png,1
Assorted,assorted.png,1
Atlantis,atlantis.png,1
Avatar,avatar.png,1
Avatar: The Last Airbender,avatar-the-last-airbender.png,1
Baby,baby.png,1
Basic,basic.png,1
Batman,batman.png,15
Belville,belville.png,1
Ben 10: Alien Force,ben-10-alien-force.png,1
Bionicle,bionicle.png,1
Bluey,bluey.png,1
Boats,boats.png,1
Books,books.png,1
Boost,boost.png,1
Botanicals,botanicals.png,1
Brick Sketches,brick-sketches.png,1
BrickHeadz,brickheadz.png,1
BrickLink,bricklink.png,1
Bricks and More,bricks-and-more.png,1
Building Set with People,building-set-with-people.png,1
Bulk Bricks,bulk-bricks.png,1
Cars,cars.png,1
Castle,castle.png,1
City,city.png,40
Classic,classic.png,1
Clikits,clikits.png,1
Collectable Minifigures,collectable-minifigures.png,1
Creator,creator.png,1
Creator Expert,creator-expert.png,32
Dacta,dacta.png,1
DC Comics Super Heroes,dc-comics-super-heroes.png,204
DC Super Hero Girls,dc-super-hero-girls.png,1
Despicable Me,despicable-me.png,1
Dimensions,dimensions.png,1
Dino,dino.png,1
Dino 2010,dino-2010.png,1
Dino Attack,dino-attack.png,1
Dinosaurs,dinosaurs.png,1
Discovery,discovery.png,1
Disney,disney.png,1
Dots,dots.png,1
Dreamzzz,dreamzzz.png,1
Duplo,duplo.png,1
Editions,editions.png,1
Education,education.png,1
Elves,elves.png,1
Exo-Force,exo-force.png,1
Explore,explore.png,1
Fabuland,fabuland.png,1
Factory,factory.png,1
FORMA,forma.png,1
Fortnite,fortnite.png,1
Freestyle,freestyle.png,1
Friends,friends.png,1
Fusion,fusion.png,1
Gabby's Dollhouse,gabbys-dollhouse.png,1
Galidor,galidor.png,1
Games,games.png,1
Gear,gear.png,1
Ghostbusters,ghostbusters.png,1
Harry Potter,harry-potter.png,1
HERO Factory,hero-factory.png,1
Hidden Side,hidden-side.png,1
Hobby Set,hobby-set.png,1
Homemaker,homemaker.png,1
Horizon,horizon.png,1
Icons,icons.png,50
Ideas,ideas.png,3
Indiana Jones,indiana-jones.png,1
Island Xtreme Stunts,island-xtreme-stunts.png,1
Jack Stone,jack-stone.png,1
Juniors,juniors.png,1
Jurassic World,jurassic-world.png,1
KPop Demon Hunters,kpop-demon-hunters.png,1
Legends of Chima,legends-of-chima.png,1
LEGO Games,lego-games.png,1
LEGO Universe,lego-universe.png,1
LEGOLAND,legoland.png,1
Life of George,life-of-george.png,1
Make and Create,make-and-create.png,1
Marvel Super Heroes,marvel-super-heroes.png,1
Master Builder Academy,master-builder-academy.png,1
Mickey Mouse,mickey-mouse.png,1
Mindstorms,mindstorms.png,1
Minecraft,minecraft.png,1
Minifigure Series,minifigure-series.png,12
Minitalia,minitalia.png,1
Miscellaneous,miscellaneous.png,1
Mixels,mixels.png,1
Model Team,model-team.png,1
Monkie Kid,monkie-kid.png,1
Monster Fighters,monster-fighters.png,1
Nexo Knights,nexo-knights.png,1
Nike,nike.png,1
Ninjago,ninjago.png,80
One Piece,one-piece.png,1
Overwatch,overwatch.png,1
Pharaoh's Quest,pharaohs-quest.png,1
Pirates,pirates.png,1
Pirates of the Caribbean,pirates-of-the-caribbean.png,1
PlayStation,playstation.png,1
Pokémon,pokemon.png,1
Power Functions,power-functions.png,1
Power Miners,power-miners.png,1
Powered Up,powered-up.png,1
PreSchool,preschool.png,1
Primo,primo.png,1
Prince of Persia,prince-of-persia.png,1
Promotional,promotional.png,1
Quatro,quatro.png,1
Racers,racers.png,1
Rock Raiders,rock-raiders.png,1
Samsonite,samsonite.png,1
Scala,scala.png,1
Scooby-Doo,scooby-doo.png,1
Seasonal,seasonal.png,1
Serious Play,serious-play.png,1
Service Packs,service-packs.png,1
Shrek,shrek.png,1
Sonic the Hedgehog,sonic-the-hedgehog.png,1
Space,space.png,1
Speed Champions,speed-champions.png,1
Speed Racer,speed-racer.png,1
Spider-Man,spider-man.png,1
SpongeBob SquarePants,spongebob-squarepants.png,1
Sports,sports.png,1
Spybotics,spybotics.png,1
Star Wars,star-wars.png,82
Stranger Things,stranger-things.png,1
Studios,studios.png,1
Super Mario,super-mario.png,1
System,system.png,1
tbd,tbd.png,1
Technic,technic.png,89
Teenage Mutant Ninja Turtles,teenage-mutant-ninja-turtles.png,1
The Angry Birds Movie,the-angry-birds-movie.png,1
The Hobbit,the-hobbit.png,1
The Legend of Zelda,the-legend-of-zelda.png,1
The LEGO Batman Movie,the-lego-batman-movie.png,1
The LEGO Movie,the-lego-movie.png,1
The LEGO Movie 2,the-lego-movie-2.png,1
The LEGO Ninjago Movie,the-lego-ninjago-movie.png,1
The Lone Ranger,the-lone-ranger.png,1
The Lord of the Rings,the-lord-of-the-rings.png,1
The Powerpuff Girls,the-powerpuff-girls.png,1
The Simpsons,the-simpsons.png,1
Time Cruisers,time-cruisers.png,1
Town,town.png,1
Toy Story,toy-story.png,1
Trains,trains.png,1
Trolls World Tour,trolls-world-tour.png,1
Ultra Agents,ultra-agents.png,1
Unikitty,unikitty.png,1
Universal Building Set,universal-building-set.png,1
Vidiyo,vidiyo.png,1
Vikings,vikings.png,1
Wednesday,wednesday.png,1
Western,western.png,1
Wicked,wicked.png,1
World City,world-city.png,1
World Racers,world-racers.png,1
Xtra,xtra.png,1
Znap,znap.png,1
